age,temp
2.805,0.41
2.808,0.49
2.81,0.62
2.812,0.6
2.815,0.65
2.817,0.94
2.82,1.05
2.822,1.24
2.825,1.41
2.828,1.46
2.83,1.4
2.833,1.48
2.835,1.38
2.837,1.22
2.84,1.11
2.842,0.98
2.845,1.05
2.848,0.86
2.85,1.02
2.853,0.98
2.855,0.95
2.857,1.13
2.86,1.35
2.862,1.25
2.865,1.06
2.868,1.16
2.87,1.17
2.873,1.29
2.875,1.29
2.877,0.9
2.88,0.89
2.882,0.94
2.885,0.86
2.888,0.92
2.89,0.87
2.893,1.11
2.895,1.19
2.897,1.43
2.9,1.3
2.902,1.32
2.905,1.14
2.908,1.21
2.91,1.22
2.913,1.17
2.915,0.87
2.917,1
2.92,0.84
2.922,0.86
2.925,0.86
2.928,1.13
2.93,0.97
2.933,0.84
2.935,1.16
2.938,1.37
2.94,1.51
2.942,1.73
2.945,1.73
2.947,1.56
2.95,1.76
2.953,1.78
2.955,1.4
2.958,1.29
2.96,1.52
2.962,1.37
2.965,1.4
2.967,1.1
2.97,1.17
2.973,1.13
2.975,0.89
2.978,0.97
2.98,0.94
2.982,1.24
2.985,1.54
2.987,1.41
2.99,1.37
2.993,1.32
2.995,1.33
2.998,1.3
3,1.08
3.005,0.95
3.01,0.92
3.015,0.83
3.02,0.87
3.025,1.14
3.03,1.44
3.035,1.51
3.04,1.29
3.045,1.16
3.05,1.13
3.055,1.43
3.06,1.73
3.065,1.57
3.07,1.51
3.075,1.49
3.08,1.51
3.085,1.75
3.09,1.37
3.095,1.37
3.1,1.52
3.105,1.56
3.11,1.45
3.115,1.31
3.12,1.25
3.125,1.13
