Age_ma,Pacific_d18O_trend,Pacific_d18O_low,Pacific_d18O_high
44.2,0.27,0.09,0.45
44.3,0.21,0.03,0.39
44.4,0.16,-0.01,0.34
44.5,0.16,-0.02,0.33
44.6,0.19,0.02,0.36
44.7,0.24,0.06,0.43
44.8,0.30,0.12,0.48
44.9,0.33,0.15,0.51
45,0.33,0.17,0.50
45.1,0.31,0.15,0.48
45.2,0.29,0.12,0.45
45.3,0.26,0.09,0.43
45.4,0.23,0.05,0.41
45.5,0.21,0.02,0.39
45.6,0.17,-0.01,0.36
45.7,0.13,-0.06,0.32
45.8,0.07,-0.14,0.27
45.9,-0.01,-0.23,0.21
46,-0.07,-0.29,0.15
46.1,-0.08,-0.29,0.13
46.2,-0.07,-0.28,0.13
46.3,-0.07,-0.26,0.12
46.4,-0.06,-0.25,0.13
46.5,-0.08,-0.27,0.12
46.6,-0.09,-0.29,0.11
46.7,-0.10,-0.30,0.09
46.8,-0.12,-0.32,0.08
46.9,-0.13,-0.36,0.09
47,-0.15,-0.40,0.10
47.1,-0.18,-0.44,0.09
47.2,-0.22,-0.47,0.04
47.3,-0.28,-0.51,-0.05
47.4,-0.34,-0.55,-0.13
47.5,-0.38,-0.60,-0.17
47.6,-0.42,-0.63,-0.20
47.7,-0.44,-0.65,-0.22
47.8,-0.42,-0.62,-0.23
47.9,-0.41,-0.60,-0.22
48,-0.39,-0.58,-0.20
48.1,-0.38,-0.58,-0.17
48.2,-0.36,-0.58,-0.14
48.3,-0.34,-0.58,-0.10
48.4,-0.35,-0.58,-0.12
48.5,-0.37,-0.58,-0.16
48.6,-0.40,-0.60,-0.21
48.7,-0.43,-0.62,-0.24
48.8,-0.45,-0.64,-0.26
48.9,-0.46,-0.64,-0.29
49,-0.47,-0.64,-0.31
49.1,-0.48,-0.65,-0.32
49.2,-0.49,-0.65,-0.33
49.3,-0.50,-0.67,-0.34
49.4,-0.51,-0.68,-0.33
49.5,-0.50,-0.69,-0.32
49.6,-0.48,-0.67,-0.30
49.7,-0.45,-0.62,-0.28
49.8,-0.42,-0.58,-0.26
49.9,-0.40,-0.56,-0.23
50,-0.39,-0.54,-0.24
50.1,-0.40,-0.55,-0.25
50.2,-0.41,-0.56,-0.27
50.3,-0.43,-0.57,-0.28
50.4,-0.45,-0.61,-0.29
50.5,-0.50,-0.65,-0.35
50.6,-0.55,-0.70,-0.40
50.7,-0.61,-0.76,-0.45
50.8,-0.65,-0.81,-0.48
50.9,-0.67,-0.85,-0.49
51,-0.65,-0.83,-0.47
51.1,-0.61,-0.79,-0.44
51.2,-0.55,-0.72,-0.38
51.3,-0.47,-0.63,-0.31
51.4,-0.38,-0.54,-0.22
51.5,-0.33,-0.48,-0.17
51.6,-0.34,-0.50,-0.18
51.7,-0.40,-0.56,-0.23
51.8,-0.46,-0.62,-0.31
51.9,-0.52,-0.67,-0.36
52,-0.55,-0.70,-0.39
52.1,-0.55,-0.70,-0.39
52.2,-0.53,-0.67,-0.38
52.3,-0.50,-0.64,-0.36
52.4,-0.48,-0.61,-0.34
52.5,-0.46,-0.59,-0.32
52.6,-0.44,-0.58,-0.30
52.7,-0.43,-0.56,-0.30
52.8,-0.42,-0.56,-0.29
52.9,-0.42,-0.55,-0.29
53,-0.42,-0.55,-0.28
53.1,-0.42,-0.55,-0.28
53.2,-0.42,-0.56,-0.29
53.3,-0.42,-0.56,-0.28
53.4,-0.42,-0.55,-0.28
53.5,-0.41,-0.55,-0.27
53.6,-0.41,-0.55,-0.26
53.7,-0.41,-0.56,-0.27
53.8,-0.42,-0.57,-0.27
53.9,-0.42,-0.57,-0.28
54,-0.41,-0.55,-0.27
54.1,-0.37,-0.51,-0.23
54.2,-0.32,-0.47,-0.18
54.3,-0.27,-0.42,-0.13
54.4,-0.23,-0.38,-0.08
54.5,-0.20,-0.35,-0.05
54.6,-0.18,-0.32,-0.04
54.7,-0.18,-0.32,-0.05
54.8,-0.20,-0.32,-0.07
54.9,-0.22,-0.35,-0.10
55,-0.25,-0.38,-0.12
55.1,-0.26,-0.39,-0.12
55.2,-0.25,-0.37,-0.12
55.3,-0.21,-0.34,-0.09
55.4,-0.18,-0.30,-0.05
55.5,-0.16,-0.28,-0.03
55.6,-0.15,-0.27,-0.03
55.7,-0.15,-0.27,-0.03
55.8,-0.16,-0.28,-0.04
55.9,-0.16,-0.28,-0.03
56,-0.13,-0.26,0.00
56.1,-0.08,-0.21,0.05
56.2,-0.03,-0.17,0.10
56.3,0.00,-0.13,0.14
56.4,0.02,-0.12,0.16
56.5,0.02,-0.12,0.16
56.6,0.01,-0.13,0.15
56.7,0.01,-0.14,0.15
56.8,0.02,-0.13,0.17
56.9,0.04,-0.10,0.19
57,0.07,-0.07,0.21
57.1,0.10,-0.04,0.24
57.2,0.13,-0.01,0.27
57.3,0.16,0.02,0.30
